zip,zone,delivery_rate,pickup_rate
48445,PD Utica 1, $100.00 , $10.00 
48467,PD Utica 1, $100.00 , $10.00 
48472,PD Utica 1, $100.00 , $10.00 
48475,PD Utica 1, $100.00 , $10.00 
48735,PD Utica 1, $100.00 , $10.00 
48741,PD Utica 1, $100.00 , $10.00 
48744,PD Utica 1, $100.00 , $10.00 
48723,PD Utica 1, $100.00 , $10.00 
48729,PD Utica 1, $100.00 , $10.00 
48461,PD Utica 1, $100.00 , $10.00 
48760,PD Utica 1, $100.00 , $10.00 
48097,PD Utica 1, $100.00 , $10.00 
48727,PD Utica 1, $100.00 , $10.00 
48466,PD Utica 1, $100.00 , $10.00 
48454,PD Utica 1, $100.00 , $10.00 
48471,PD Utica 1, $100.00 , $10.00 
48701,PD Utica 1, $100.00 , $10.00 
48767,PD Utica 1, $100.00 , $10.00 
48759,PD Utica 1, $100.00 , $10.00 
48755,PD Utica 1, $100.00 , $10.00 
48754,PD Utica 1, $100.00 , $10.00 
48720,PD Utica 1, $100.00 , $10.00 
48731,PD Utica 1, $100.00 , $10.00 
48725,PD Utica 1, $100.00 , $10.00 
48317,PD Utica 2, $100.00 , $10.00 
48315,PD Utica 2, $100.00 , $10.00 
48044,PD Utica 2, $100.00 , $10.00 
48042,PD Utica 2, $100.00 , $10.00 
48039,PD Utica 2, $100.00 , $10.00 
48054,PD Utica 2, $100.00 , $10.00 
48079,PD Utica 2, $100.00 , $10.00 
48064,PD Utica 2, $100.00 , $10.00 
48063,PD Utica 2, $100.00 , $10.00 
48051,PD Utica 2, $100.00 , $10.00 
48047,PD Utica 2, $100.00 , $10.00 
48023,PD Utica 2, $100.00 , $10.00 
48001,PD Utica 2, $100.00 , $10.00 
48028,PD Utica 2, $100.00 , $10.00 
48027,PD Utica 2, $100.00 , $10.00 
48074,PD Utica 2, $100.00 , $10.00 
48040,PD Utica 2, $100.00 , $10.00 
48060,PD Utica 2, $100.00 , $10.00 
48059,PD Utica 2, $100.00 , $10.00 
48422,PD Utica 2, $100.00 , $10.00 
48450,PD Utica 2, $100.00 , $10.00 
48032,PD Utica 2, $100.00 , $10.00 
48049,PD Utica 2, $100.00 , $10.00 
48006,PD Utica 2, $100.00 , $10.00 
48096,PD Utica 1, $100.00 , $10.00 
48048,PD Utica 1, $100.00 , $10.00 
48050,PD Utica 1, $100.00 , $10.00 
48062,PD Utica 1, $100.00 , $10.00 
48005,PD Utica 1, $100.00 , $10.00 
48002,PD Utica 1, $100.00 , $10.00 
48041,PD Utica 1, $100.00 , $10.00 
48022,PD Utica 1, $100.00 , $10.00 
48014,PD Utica 1, $100.00 , $10.00 
48314,PD Utica 4, $100.00 , $10.00 
48317,PD Utica 4, $100.00 , $10.00 
48310,PD Utica 4, $100.00 , $10.00 
48085,PD Utica 4, $100.00 , $10.00 
48083,PD Utica 4, $100.00 , $10.00 
48071,PD Utica 4, $100.00 , $10.00 
48092,PD Utica 4, $100.00 , $10.00 
48312,PD Utica 4, $100.00 , $10.00 
48313,PD Utica 4, $100.00 , $10.00 
48091,PD Utica 4, $100.00 , $10.00 
48030,PD Utica 4, $100.00 , $10.00 
48067,PD Utica 4, $100.00 , $10.00 
48070,PD Utica 4, $100.00 , $10.00 
48072,PD Utica 4, $100.00 , $10.00 
48076,PD Utica 4, $100.00 , $10.00 
48237,PD Utica 4, $100.00 , $10.00 
48075,PD Utica 4, $100.00 , $10.00 
48034,PD Utica 4, $100.00 , $10.00 
48033,PD Utica 4, $100.00 , $10.00 
48334,PD Utica 4, $100.00 , $10.00 
48336,PD Utica 4, $100.00 , $10.00 
48331,PD Utica 4, $100.00 , $10.00 
48335,PD Utica 4, $100.00 , $10.00 
48377,PD Utica 4, $100.00 , $10.00 
48375,PD Utica 4, $100.00 , $10.00 
48374,PD Utica 4, $100.00 , $10.00 
48393,PD Utica 4, $100.00 , $10.00 
48165,PD Utica 4, $100.00 , $10.00 
48178,PD Utica 4, $100.00 , $10.00 
48116,PD Utica 4, $100.00 , $10.00 
48380,PD Utica 4, $100.00 , $10.00 
48381,PD Utica 4, $100.00 , $10.00 
48114,PD Utica 4, $100.00 , $10.00 
48843,PD Utica 4, $100.00 , $10.00 
48317,PD Utica 5, $100.00 , $10.00 
48314,PD Utica 5, $100.00 , $10.00 
48036,PD Utica 5, $100.00 , $10.00 
48313,PD Utica 5, $100.00 , $10.00 
48038,PD Utica 5, $100.00 , $10.00 
48043,PD Utica 5, $100.00 , $10.00 
48045,PD Utica 5, $100.00 , $10.00 
48035,PD Utica 5, $100.00 , $10.00 
48026,PD Utica 5, $100.00 , $10.00 
48088,PD Utica 5, $100.00 , $10.00 
48093,PD Utica 5, $100.00 , $10.00 
48015,PD Utica 5, $100.00 , $10.00 
48397,PD Utica 5, $100.00 , $10.00 
48089,PD Utica 5, $100.00 , $10.00 
48213,PD Utica 5, $100.00 , $10.00 
48021,PD Utica 5, $100.00 , $10.00 
48066,PD Utica 5, $100.00 , $10.00 
48082,PD Utica 5, $100.00 , $10.00 
48081,PD Utica 5, $100.00 , $10.00 
48236,PD Utica 5, $100.00 , $10.00 
48080,PD Utica 5, $100.00 , $10.00 
48205,PD Utica 5, $100.00 , $10.00 
48224,PD Utica 5, $100.00 , $10.00 
48225,PD Utica 5, $100.00 , $10.00 
48215,PD Utica 5, $100.00 , $10.00 
48230,PD Utica 5, $100.00 , $10.00 
48214,PD Utica 5, $100.00 , $10.00 
48207,PD Utica 5, $100.00 , $10.00 
48208,PD Utica 5, $100.00 , $10.00 
48201,PD Utica 5, $100.00 , $10.00 
48220,PD Utica 5, $100.00 , $10.00 
48203,PD Utica 5, $100.00 , $10.00 
48212,PD Utica 5, $100.00 , $10.00 
48234,PD Utica 5, $100.00 , $10.00 
48211,PD Utica 5, $100.00 , $10.00 
48202,PD Utica 5, $100.00 , $10.00 
48206,PD Utica 5, $100.00 , $10.00 
48238,PD Utica 5, $100.00 , $10.00 
48221,PD Utica 5, $100.00 , $10.00 
48235,PD Utica 5, $100.00 , $10.00 
48227,PD Utica 5, $100.00 , $10.00 
48210,PD Utica 5, $100.00 , $10.00 
48209,PD Utica 5, $100.00 , $10.00 
48226,PD Utica 5, $100.00 , $10.00 
48204,PD Utica 5, $100.00 , $10.00 
48228,PD Utica 5, $100.00 , $10.00 
48223,PD Utica 5, $100.00 , $10.00 
48219,PD Utica 5, $100.00 , $10.00 
48239,PD Utica 5, $100.00 , $10.00 
48126,PD Utica 5, $100.00 , $10.00 
48216,PD Utica 5, $100.00 , $10.00 
48229,PD Utica 5, $100.00 , $10.00 
48218,PD Utica 5, $100.00 , $10.00 
48192,PD Utica 5, $100.00 , $10.00 
48193,PD Utica 5, $100.00 , $10.00 
48174,PD Utica 5, $100.00 , $10.00 
48180,PD Utica 5, $100.00 , $10.00 
48242,PD Utica 5, $100.00 , $10.00 
48195,PD Utica 5, $100.00 , $10.00 
48146,PD Utica 5, $100.00 , $10.00 
48101,PD Utica 5, $100.00 , $10.00 
48122,PD Utica 5, $100.00 , $10.00 
48217,PD Utica 5, $100.00 , $10.00 
48120,PD Utica 5, $100.00 , $10.00 
48105,PD Utica 4, $100.00 , $10.00 
48170,PD Utica 4, $100.00 , $10.00 
48167,PD Utica 4, $100.00 , $10.00 
48168,PD Utica 4, $100.00 , $10.00 
48152,PD Utica 4, $100.00 , $10.00 
48154,PD Utica 4, $100.00 , $10.00 
48150,PD Utica 4, $100.00 , $10.00 
48240,PD Utica 4, $100.00 , $10.00 
48124,PD Utica 5, $100.00 , $10.00 
48141,PD Utica 5, $100.00 , $10.00 
48125,PD Utica 5, $100.00 , $10.00 
48128,PD Utica 5, $100.00 , $10.00 
48185,PD Utica 5, $100.00 , $10.00 
48135,PD Utica 5, $100.00 , $10.00 
48127,PD Utica 5, $100.00 , $10.00 
48186,PD Utica 5, $100.00 , $10.00 
48187,PD Utica 5, $100.00 , $10.00 
48188,PD Utica 5, $100.00 , $10.00 
48184,PD Utica 5, $100.00 , $10.00 
48111,PD Utica 5, $100.00 , $10.00 
48198,PD Utica 4, $100.00 , $10.00 
48317,PD Utica 3, $100.00 , $10.00 
48314,PD Utica 3, $100.00 , $10.00 
48313,PD Utica 3, $100.00 , $10.00 
48315,PD Utica 3, $100.00 , $10.00 
48307,PD Utica 3, $100.00 , $10.00 
48309,PD Utica 3, $100.00 , $10.00 
48306,PD Utica 3, $100.00 , $10.00 
48359,PD Utica 3, $100.00 , $10.00 
48326,PD Utica 3, $100.00 , $10.00 
48362,PD Utica 3, $100.00 , $10.00 
48360,PD Utica 3, $100.00 , $10.00 
48346,PD Utica 3, $100.00 , $10.00 
48348,PD Utica 3, $100.00 , $10.00 
48363,PD Utica 3, $100.00 , $10.00 
48367,PD Utica 3, $100.00 , $10.00 
48370,PD Utica 3, $100.00 , $10.00 
48371,PD Utica 3, $100.00 , $10.00 
48455,PD Utica 3, $100.00 , $10.00 
48428,PD Utica 3, $100.00 , $10.00 
48412,PD Utica 3, $100.00 , $10.00 
48446,PD Utica 3, $100.00 , $10.00 
48423,PD Utica 3, $100.00 , $10.00 
48506,PD Utica 3, $100.00 , $10.00 
48505,PD Utica 3, $100.00 , $10.00 
48458,PD Utica 3, $100.00 , $10.00 
48504,PD Utica 3, $100.00 , $10.00 
48502,PD Utica 3, $100.00 , $10.00 
48509,PD Utica 3, $100.00 , $10.00 
48503,PD Utica 3, $100.00 , $10.00 
48529,PD Utica 3, $100.00 , $10.00 
48519,PD Utica 3, $100.00 , $10.00 
48507,PD Utica 3, $100.00 , $10.00 
48551,PD Utica 3, $100.00 , $10.00 
48439,PD Utica 3, $100.00 , $10.00 
48438,PD Utica 3, $100.00 , $10.00 
48462,PD Utica 3, $100.00 , $10.00 
48442,PD Utica 3, $100.00 , $10.00 
48314,PD Utica 6, $100.00 , $10.00 
48317,PD Utica 6, $100.00 , $10.00 
48313,PD Utica 6, $100.00 , $10.00 
48315,PD Utica 6, $100.00 , $10.00 
48098,PD Utica 6, $100.00 , $10.00 
48085,PD Utica 6, $100.00 , $10.00 
48307,PD Utica 6, $100.00 , $10.00 
48304,PD Utica 6, $100.00 , $10.00 
48342,PD Utica 6, $100.00 , $10.00 
48302,PD Utica 6, $100.00 , $10.00 
48341,PD Utica 6, $100.00 , $10.00 
48340,PD Utica 6, $100.00 , $10.00 
48327,PD Utica 6, $100.00 , $10.00 
48328,PD Utica 6, $100.00 , $10.00 
48324,PD Utica 6, $100.00 , $10.00 
48301,PD Utica 6, $100.00 , $10.00 
48323,PD Utica 6, $100.00 , $10.00 
48322,PD Utica 6, $100.00 , $10.00 
48320,PD Utica 6, $100.00 , $10.00 
48025,PD Utica 6, $100.00 , $10.00 
48009,PD Utica 6, $100.00 , $10.00 
48073,PD Utica 6, $100.00 , $10.00 
48017,PD Utica 6, $100.00 , $10.00 
48084,PD Utica 6, $100.00 , $10.00 
48382,PD Utica 6, $100.00 , $10.00 
48390,PD Utica 6, $100.00 , $10.00 
48386,PD Utica 6, $100.00 , $10.00 
