zip,zone,delivery_rate,pickup_rate
48103,AHM Ann Arbor 3.B, $100.00 , $10.00 
48108,AHM Ann Arbor 3.B, $100.00 , $10.00 
48176,AHM Ann Arbor 3.B, $100.00 , $10.00 
49286,AHM Ann Arbor 3.B, $100.00 , $10.00 
49221,AHM Ann Arbor 3.B, $100.00 , $10.00 
49236,AHM Ann Arbor 3.B, $100.00 , $10.00 
48103,AHM Ann Arbor 4.A, $100.00 , $10.00 
48108,AHM Ann Arbor 4.A, $100.00 , $10.00 
48198,AHM Ann Arbor 4.A, $100.00 , $10.00 
48197,AHM Ann Arbor 4.A, $100.00 , $10.00 
48180,AHM Ann Arbor 4.A, $100.00 , $10.00 
48174,AHM Ann Arbor 4.A, $100.00 , $10.00 
48242,AHM Ann Arbor 4.A, $100.00 , $10.00 
48101,AHM Ann Arbor 4.A, $100.00 , $10.00 
48146,AHM Ann Arbor 4.A, $100.00 , $10.00 
48195,AHM Ann Arbor 4.A, $100.00 , $10.00 
48192,AHM Ann Arbor 4.A, $100.00 , $10.00 
48193,AHM Ann Arbor 4.A, $100.00 , $10.00 
48183,AHM Ann Arbor 4.A, $100.00 , $10.00 
48138,AHM Ann Arbor 4.A, $100.00 , $10.00 
48103,AHM Ann Arbor 4.B, $100.00 , $10.00 
48108,AHM Ann Arbor 4.B, $100.00 , $10.00 
48198,AHM Ann Arbor 4.B, $100.00 , $10.00 
48191,AHM Ann Arbor 4.B, $100.00 , $10.00 
48190,AHM Ann Arbor 4.B, $100.00 , $10.00 
48111,AHM Ann Arbor 4.B, $100.00 , $10.00 
48164,AHM Ann Arbor 4.B, $100.00 , $10.00 
48134,AHM Ann Arbor 4.B, $100.00 , $10.00 
48173,AHM Ann Arbor 4.B, $100.00 , $10.00 
48179,AHM Ann Arbor 4.B, $100.00 , $10.00 
48166,AHM Ann Arbor 4.B, $100.00 , $10.00 
48117,AHM Ann Arbor 4.B, $100.00 , $10.00 
48103,AHM Ann Arbor 5.A, $100.00 , $10.00 
48108,AHM Ann Arbor 5.A, $100.00 , $10.00 
48176,AHM Ann Arbor 5.A, $100.00 , $10.00 
49238,AHM Ann Arbor 5.A, $100.00 , $10.00 
49229,AHM Ann Arbor 5.A, $100.00 , $10.00 
48131,AHM Ann Arbor 5.A, $100.00 , $10.00 
49270,AHM Ann Arbor 5.A, $100.00 , $10.00 
49276,AHM Ann Arbor 5.A, $100.00 , $50.00 
49228,AHM Ann Arbor 5.A, $100.00 , $10.00 
49268,AHM Ann Arbor 5.A, $100.00 , $10.00 
49267,AHM Ann Arbor 5.A, $100.00 , $50.00 
48103,AHM Ann Arbor 5.B, $100.00 , $10.00 
48108,AHM Ann Arbor 5.B, $100.00 , $10.00 
48160,AHM Ann Arbor 5.B, $100.00 , $10.00 
48110,AHM Ann Arbor 5.B, $100.00 , $10.00 
48159,AHM Ann Arbor 5.B, $100.00 , $10.00 
48162,AHM Ann Arbor 5.B, $100.00 , $10.00 
48161,AHM Ann Arbor 5.B, $100.00 , $10.00 
48140,AHM Ann Arbor 5.B, $100.00 , $10.00 
48157,AHM Ann Arbor 5.B, $100.00 , $50.00 
48133,AHM Ann Arbor 5.B, $100.00 , $50.00 
48182,AHM Ann Arbor 5.B, $100.00 , $50.00 
48177,AHM Ann Arbor 5.B, $100.00 , $50.00 
48144,AHM Ann Arbor 5.B, $100.00 , $50.00 
48145,AHM Ann Arbor 5.B, $100.00 , $50.00 
48346,AHM Clarkston 1.A, $100.00 , $10.00 
48348,AHM Clarkston 1.A, $100.00 , $10.00 
48326,AHM Clarkston 1.A, $100.00 , $10.00 
48340,AHM Clarkston 1.A, $100.00 , $10.00 
48342,AHM Clarkston 1.A, $100.00 , $10.00 
48341,AHM Clarkston 1.A, $100.00 , $10.00 
48346,AHM Clarkston 1.B, $100.00 , $10.00 
48329,AHM Clarkston 1.B, $100.00 , $10.00 
48327,AHM Clarkston 1.B, $100.00 , $10.00 
48328,AHM Clarkston 1.B, $100.00 , $10.00 
48346,AHM Clarkston 2.A, $100.00 , $10.00 
48350,AHM Clarkston 2.A, $100.00 , $10.00 
48442,AHM Clarkston 2.A, $100.00 , $10.00 
48430,AHM Clarkston 2.A, $100.00 , $10.00 
48451,AHM Clarkston 2.A, $100.00 , $10.00 
48418,AHM Clarkston 2.A, $100.00 , $10.00 
48346,AHM Clarkston 2.B, $100.00 , $10.00 
48386,AHM Clarkston 2.B, $100.00 , $10.00 
48383,AHM Clarkston 2.B, $100.00 , $10.00 
48356,AHM Clarkston 2.B, $100.00 , $10.00 
48357,AHM Clarkston 2.B, $100.00 , $10.00 
48346,AHM Clarkston 3.A, $100.00 , $10.00 
48348,AHM Clarkston 3.A, $100.00 , $10.00 
48462,AHM Clarkston 3.A, $100.00 , $10.00 
48438,AHM Clarkston 3.A, $100.00 , $10.00 
48423,AHM Clarkston 3.A, $100.00 , $10.00 
48463,AHM Clarkston 3.A, $100.00 , $10.00 
48421,AHM Clarkston 3.A, $100.00 , $10.00 
48346,AHM Clarkston 3.B, $100.00 , $10.00 
